name,text,likes,comments,hashtag,question_mark,emoji,average_length,clean_text,corpus,word_count,response,log_plus1,log
"Ann Price (she, her, hers)",It's almost Q4. Is your organization ready to build the evaluation strategy you need to change your community? https://bit.ly/3QReJLn #community #change #strategy #evaluation #coalition #nonprofit,0,0,6,1,0,6.6,its almost q is your organization ready to build the evaluation strategy you need to change your community       ,"['almost', 'q', 'organization', 'ready', 'build', 'evaluation', 'strategy', 'need', 'change', 'community', 'almost', 'q', 'organization', 'ready', 'build', 'evaluation', 'strategy', 'need', 'change', 'community']",20,0,0.0,0.0
"Ann Price (she, her, hers)","Hi everyone-

Office hours are tomorrow. Sharing the correct registration link.

https://bit.ly/3BGkO7L

Come with your Qs!

Ann",0,0,0,0,0,5.666666666666667,"hi everyone

office hours are tomorrow sharing the correct registration link



come with your qs

ann","['hi', 'everyone', 'office', 'hours', 'tomorrow', 'sharing', 'correct', 'registration', 'link', 'come', 'qs', 'ann', 'hi', 'everyone', 'office', 'hours', 'tomorrow', 'sharing', 'correct', 'registration', 'link', 'come', 'qs', 'ann']",24,0,0.0,0.0
"Ann Price (she, her, hers)","A year ago, it was only something on my vision board. Now my podcast lets me meet amazing #nonprofit #foundation and #community leaders like Jessica Nunan of Caminar Latino. Listen, be challenged and inspired.  https://communityevaluationsolutions.com/podcast",1,0,3,0,0,6.055555555555555,a year ago it was only something on my vision board now my podcast lets me meet amazing   and  leaders like jessica nunan of caminar latino listen be challenged and inspired  ,"['year', 'ago', 'something', 'vision', 'board', 'podcast', 'lets', 'meet', 'amazing', 'leaders', 'like', 'jessica', 'nunan', 'caminar', 'latino', 'listen', 'challenged', 'inspired', 'year', 'ago', 'something', 'vision', 'board', 'podcast', 'lets', 'meet', 'amazing', 'leaders', 'like', 'jessica', 'nunan', 'caminar', 'latino', 'listen', 'challenged', 'inspired']",36,1,0.6931471805599453,0.0
"Ann Price (she, her, hers)","New #podcast episode! Jessica Nunan of 
@CaminarLatino
 joined me on Community Possibilities to share their journey as  Georgia’s first and only comprehensive domestic violence intervention program for Latino families. Thank you Jessica! https://communityevaluationsolutions.com/podcast #peace #equity",0,0,3,0,0,7.45,"new  episode jessica nunan of 

 joined me on community possibilities to share their journey as  georgias first and only comprehensive domestic violence intervention program for latino families thank you jessica   ","['new', 'episode', 'jessica', 'nunan', 'joined', 'community', 'possibilities', 'share', 'journey', 'georgias', 'first', 'comprehensive', 'domestic', 'violence', 'intervention', 'program', 'latino', 'families', 'thank', 'jessica', 'new', 'episode', 'jessica', 'nunan', 'joined', 'community', 'possibilities', 'share', 'journey', 'georgias', 'first', 'comprehensive', 'domestic', 'violence', 'intervention', 'program', 'latino', 'families', 'thank', 'jessica']",40,0,0.0,0.0
"Ann Price (she, her, hers)","Office hours for #new and emerging #eval #consultants this Friday at 11 AM EST. I am in the hot seat. Bring your q’s, successes, and places where you are stuck. 
Register to attend Bitly Link: https://bit.ly/3JQQYjP #evaluation #consulting #entrepreneurmind",0,0,6,0,0,5.3125,"office hours for  and emerging   this friday at  am est i am in the hot seat bring your qs successes and places where you are stuck 
register to attend bitly link    ","['office', 'hours', 'emerging', 'friday', 'est', 'hot', 'seat', 'bring', 'qs', 'successes', 'places', 'stuck', 'register', 'attend', 'bitly', 'link', 'office', 'hours', 'emerging', 'friday', 'est', 'hot', 'seat', 'bring', 'qs', 'successes', 'places', 'stuck', 'register', 'attend', 'bitly', 'link']",32,0,0.0,0.0
"Ann Price (she, her, hers)",Sometimes you just need to start all over.,2,0,0,0,0,6.0,sometimes you just need to start all over,"['sometimes', 'need', 'start', 'sometimes', 'need', 'start']",6,2,1.0986122886681098,0.6931471805599453
"Ann Price (she, her, hers)","OMG, it's really happening. Our book will be published in May in the UK (available in the US electronically) and in July in the US. We did it 
@SusanWolfeAssoc
! #community #communityengagement #communityleadership #evaluation #coalitions #communitypsychology #consulting",8,0,7,0,0,5.583333333333333,"omg its really happening our book will be published in may in the uk available in the us electronically and in july in the us we did it 

       ","['omg', 'really', 'happening', 'book', 'published', 'may', 'uk', 'available', 'us', 'electronically', 'july', 'us', 'omg', 'really', 'happening', 'book', 'published', 'may', 'uk', 'available', 'us', 'electronically', 'july', 'us']",24,8,2.1972245773362196,2.0794415416798357
"Ann Price (she, her, hers)","""You make evaluation accessible"" a #coalition leader told me last week. Made. My. Day. Not sure where to start? Try my Evaluation Capacity Tool https://bit.ly/3PuPcql #evaluation #community #prevention",0,0,4,1,0,5.533333333333333,you make evaluation accessible a  leader told me last week made my day not sure where to start try my evaluation capacity tool    ,"['make', 'evaluation', 'accessible', 'leader', 'told', 'last', 'week', 'made', 'day', 'sure', 'start', 'try', 'evaluation', 'capacity', 'tool', 'make', 'evaluation', 'accessible', 'leader', 'told', 'last', 'week', 'made', 'day', 'sure', 'start', 'try', 'evaluation', 'capacity', 'tool']",30,0,0.0,0.0
"Ann Price (she, her, hers)","Thank you to whoever recommened this book to me. ""Bringing a simple solution to a complex behavioral challenge almost never works."" #coalition #systemsthinking #systemschange #evaluation",3,0,4,0,0,6.923076923076923,thank you to whoever recommened this book to me bringing a simple solution to a complex behavioral challenge almost never works    ,"['thank', 'whoever', 'recommened', 'book', 'bringing', 'simple', 'solution', 'complex', 'behavioral', 'challenge', 'almost', 'never', 'works', 'thank', 'whoever', 'recommened', 'book', 'bringing', 'simple', 'solution', 'complex', 'behavioral', 'challenge', 'almost', 'never', 'works']",26,3,1.3862943611198906,1.0986122886681098
"Ann Price (she, her, hers)","Thanks to our 
@aeaweb
 Summer Institute attendees who came to our follow-up session yesterday. 
@SusanWolfeAssoc
 and I loved seeing you. We had a great conversation on specific ways to measure #systemschange #partnerships #collaboration . See you at our workshop at #Eval22 in NOLA!",1,0,4,0,0,6.666666666666667,"thanks to our 

 summer institute attendees who came to our followup session yesterday 

 and i loved seeing you we had a great conversation on specific ways to measure     see you at our workshop at  in nola","['thanks', 'summer', 'institute', 'attendees', 'came', 'followup', 'session', 'yesterday', 'loved', 'seeing', 'great', 'conversation', 'specific', 'ways', 'measure', 'see', 'workshop', 'nola', 'thanks', 'summer', 'institute', 'attendees', 'came', 'followup', 'session', 'yesterday', 'loved', 'seeing', 'great', 'conversation', 'specific', 'ways', 'measure', 'see', 'workshop', 'nola']",36,1,0.6931471805599453,0.0
